"CRN","TRAILER_PARTIAL_VIN","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR","TRL_VEH_TYPE_CD","UNIT_NUM"
"2020048178","","0","PA","XLD7101","2020","3","1"
"2020050239","","1","MD","","","1","2"
"2020035275","","0","NJ","TVJ23F","2020","7","3"
"2020028951","","0","IN","84365E","2020","4","1"
"2020028951","","0","PA","PT42935","2020","7","2"
"2021003032","","0","ZZ","NA","","6","2"
"2020093792","","0","PA","XN81353","2020","7","2"
"2020030431","","0","IL","548320ST","2099","7","2"
"2020096116","","0","PA","XHR4428","2020","3","2"
"2020072134","","0","ZZ","N/A","2020","8","3"
"2020040944","","0","PA","PT4412Z","2021","7","1"
"2020040944","","0","IL","639598ST","2021","7","2"
"2020040944","","0","TN","U199233","2020","7","3"
"2020039029","","0","PA","PT312D4","2008","6","2"
"2020049182","","0","NJ","TWN26V","2021","6","1"
"2020007451","","0","ZZ","UNK","2020","7","1"
"2020070017","","0","ON","RJ5001MQU","2021","7","3"
"2020022129","","0","OH","TM3363","2019","7","1"
"2020065694","","0","PA","PT388J7","2020","7","2"
"2020106597","","0","IN","P772058","2021","7","1"
"2020010514","","0","PA","PT4101X","2014","7","3"
"2020106749","","0","NY","693664","2021","7","1"
"2021001582","","0","IL","669384","2020","7","1"
"2020067867","","0","ZZ","NONE","2020","3","1"
"2020099500","","0","PA","J95444J","2020","3","1"
"2020013808","","0","PA","PT00517E9","2016","7","1"
"2020033857","","0","ZZ","UNKNOWN","2020","7","2"
"2020059403","","0","ME","299125Z","2019","7","1"
"2020111529","","0","IN","SP154HFG","2021","7","2"
"2020036366","","0","ME","B983516","2020","7","1"
"2020036366","","0","ID","TK6905","2020","7","2"
"2020078679","","0","PA","XLK9669","2021","6","2"
"2020100976","","0","PA","XMM9635","2021","3","2"
"2020018497","","0","ME","2049776","2020","7","1"
"2020043031","","0","ME","233478C","2020","7","1"
"2020043031","","0","NY","BU40345","2020","7","3"
"2021005598","","0","PA","PT009L1","2021","7","2"
"2020110555","","0","MO","94K6ZF","2021","7","1"
"2020025655","","0","","","","7","2"
"2020044434","","0","VA","578753","2020","7","2"
"2020059385","","0","ZZ","999999999999","2020","7","1"
"2020063706","","0","MT","776744C","2019","7","1"
"2020026311","","0","IN","P947483","2020","7","1"
"2020022122","","0","ME","3123588","2031","3","1"
"2020069364","","0","GA","WDI705","2020","6","2"
"2020019173","","0","PA","PT44794","2020","6","1"
"2020059439","","0","MX","2147474","2020","6","1"
"2020059439","","0","PA","PT475E2","2019","6","2"
"2020079155","","0","","","","6","2"
"2020045758","","0","IN","SP275CLP","","7","1"
"2020089358","","0","PA","PT206H1","2015","7","3"
"2020043849","","0","MO","61K1ZR","2020","7","1"
"2020034285","","0","PA","PT411J6","2020","7","1"
"2020079511","","0","PA","XHT7273","2021","6","2"
"2020069273","","0","PA","PT8659P","2011","8","2"
"2020084117","","1","PA","HXG2518","","1","2"
"2020084117","","1","PA","JPC7842","","1","3"
"2020020358","","0","WI","730625","2020","7","2"
"2020014903","","0","","","","1","3"
"2020051696","","0","ME","3428583","2034","7","1"
"2020036992","","0","PA","PT460B8","2021","7","1"
"2020038351","","0","NJ","TWE99T","2020","7","2"
